player_name,position,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,PF,achiupr01,2023,2328,1140,-2.442458528,0.6059675332,-1.836490995,1.583853982,-3.756531688,-2.172677706,-1.77117981,-0.2836726083,-2.054852418,0.4004875286,0.4004875286,0,-1.867986323,-0.1828059356,-2.050792258,-0.9560648308
Steven Adams,C,adamsst01,2023,2391,1133,-0.5391485589,4.174472679,3.63532412,4.196019485,0.1861585744,4.38217806,0.4162789084,3.550985038,3.967263946,3.892111052,3.892111052,0,0.02509679739,3.570023674,3.595120472,0.2379053556
Bam Adebayo,C,adebaba01,2023,6933,3448,-1.905567785,2.343397524,0.4378297385,1.584151168,2.634869211,4.219020378,-1.279139764,2.528053482,1.248913718,7.035147702,5.692163679,1.342984023,-0.8093236246,2.539525564,1.730201939,-0.4437890652
Ochai Agbaji,SG,agbajoc01,2023,2604,1209,-1.323937715,-2.198396043,-3.522333759,0.637793414,-0.5693488206,0.06844459343,-1.010695667,-1.964926572,-2.97562224,-0.1394690978,-0.1394690978,0,-1.14586496,-2.506387133,-3.652252093,0.2162159217
Santi Aldama,PF,aldamsa01,2023,3824,1783,-1.022698582,-0.4074620658,-1.430160647,-0.1691962576,-1.337526726,-1.506722984,-0.9070950302,-0.6754868566,-1.582581887,1.058654626,1.159520292,-0.1008656661,-1.245487482,-0.1654749542,-1.410962437,-0.0356897397
Nickeil Alexander-Walker,SG,alexani01,2023,2185,1032,-0.05886533589,4.097519421,4.038654085,-1.212303739,2.272451262,1.060147523,-0.3038303314,3.986873712,3.68304338,3.479913652,2.416557418,1.063356234,-0.08753738542,3.351663189,3.264125804,0.4400434539
Grayson Allen,SG,allengr01,2023,4534,2121,-0.04459916047,0.2383331244,0.1937339639,0.5240245034,-0.510039599,0.01398490437,0.07108780124,0.05096970247,0.1220575037,3.127174324,2.880050069,0.2471242551,0.2693443813,-0.0303723565,0.2389720248,0.3817913596
Jarrett Allen,C,allenja01,2023,4833,2411,-1.334080445,1.627077731,0.2929972855,3.307167417,1.658584771,4.965752188,-0.4542169763,1.668787167,1.214570191,4.856336854,4.528900772,0.3274360818,-0.3487349658,2.270492232,1.921757266,-0.572868185
Jose Alvarado,PG,alvarjo01,2023,2778,1310,0.03925834735,1.396093695,1.435352042,-0.6771845507,3.379530873,2.702346323,-0.1035658466,1.865416284,1.761850437,3.025179269,3.025179269,0,-0.4248347861,1.927231591,1.502396805,0.3223233609
Kyle Anderson,SF,anderky01,2023,4359,2061,-0.07395912878,1.255403301,1.181444172,1.531263361,0.4194800407,1.950743402,0.2715341912,1.148606958,1.420141149,4.358710264,4.395997187,-0.03728692244,-0.4137670866,1.304951349,0.8911842626,-0.299085526
Giannis Antetokounmpo,PF,antetgi01,2023,4574,2115,3.378602594,1.927022233,5.305624826,2.646947148,1.836528724,4.483475873,3.402392686,1.978272754,5.38066544,8.923683983,9.313686034,-0.3900020505,3.450266519,1.223376885,4.673643404,1.632325649
Thanasis Antetokounmpo,SF,antetth01,2023,460,211,-5.630552403,-3.924342695,-9.554895098,-9.563757748,-8.887884128,-18.45164188,-6.778177628,-5.231934086,-12.01011171,-0.9910248489,-0.945595409,-0.04542943988,-5.48958452,-5.543422252,-11.03300677,-0.6889483377
Cole Anthony,PG,anthoco01,2023,3230,1552,1.922171602,-0.5982074874,1.323964114,1.709357401,0.2263581353,1.935715536,2.036866773,-0.4631402414,1.573726531,3.396952856,3.396952856,0,1.469401101,-0.3940414515,1.075359649,-0.7873056369
O.G. Anunoby,SF,anunoog01,2023,4888,2386,-0.8581292049,1.89482412,1.036694915,-0.2205462117,2.806218957,2.585672745,-0.7895273925,2.196114879,1.406587486,5.079681328,5.079681328,0,0.1016591617,2.935879332,3.037538494,0.3932208857
Ryan Arcidiacono,PF,arcidry01,2023,375,172,-7.087969985,2.313559209,-4.774410776,-10.77874876,6.769757971,-4.008990792,-8.304900528,3.438595943,-4.866304585,-0.1847359822,-0.1847359822,0,-6.911505894,1.62498042,-5.286525474,-0.5016448566
Deni Avdija,SF,avdijde01,2023,4198,2020,-1.920581651,0.9549631307,-0.9656185204,-0.602359065,-0.1800903219,-0.7824493868,-1.762021409,0.7913161955,-0.9707052132,1.834479471,1.834479471,0,-1.536854724,1.230156139,-0.3066985847,0.04024408233
Deandre Ayton,C,aytonde01,2023,4842,2354,-2.280979115,0.08896410025,-2.192015015,-2.180722871,-1.80235683,-3.9830797,-2.407626465,-0.320287089,-2.727913554,0.01817308815,0.3748639502,-0.356690862,-2.287942433,0.0807753517,-2.207167081,-0.5178736479
Udoka Azubuike,C,azubuud01,2023,785,359,-4.865376575,0.9794196798,-3.885956895,-6.299387132,-1.953437221,-8.252824353,-5.484095822,0.467055457,-5.017040365,-0.4133732294,-0.4133732294,0,-5.82631715,-1.400340537,-7.226657686,-0.4525997296
Marvin Bagley III,PF,baglema01,2023,2066,990,-1.9424991,0.967490252,-0.9750088481,-1.356408457,-1.741878663,-3.09828712,-1.875703859,0.5225691541,-1.353134705,0.7027748177,0.7027748177,0,-2.05082266,-0.4196888744,-2.470511534,-0.3975603735
Patrick Baldwin Jr.,SF,baldwpa01,2023,507,237,-2.488582664,-1.613876916,-4.102459579,-5.96714343,-3.024455756,-8.991599186,-3.36376862,-1.996714399,-5.360483019,-0.3171134323,-0.3244567903,0.007343357956,-1.755022381,-2.555892464,-4.310914846,0.3598688664
LaMelo Ball,PG,ballla01,2023,2757,1268,1.819526218,-0.362158315,1.457367903,2.658502196,-3.271476263,-0.6129740668,2.221353275,-0.9817276985,1.239625576,2.620348369,2.620348369,0,2.710252628,-0.1347986037,2.575454025,1.537870685
Mo Bamba,C,bambamo01,2023,1613,779,-1.430385111,-1.112776146,-2.543161258,1.546510359,1.111328702,2.657839061,-0.8756354016,-0.7230701249,-1.598705527,0.4616744035,0.4887580216,-0.02708361812,-0.9119300814,-1.56466666,-2.476596742,-0.3906486298
Paolo Banchero,PF,banchpa01,2023,5096,2430,-1.577063214,-0.8801230195,-2.457186234,-0.5153537045,-4.506574034,-5.021927738,-1.397951371,-1.690712842,-3.088664213,-0.4215158109,-0.4215158109,0,-1.596659607,-1.852705828,-3.449365435,0.3953643167
Desmond Bane,SG,banede01,2023,4448,2072,2.957002427,-0.3050586,2.651943827,3.63383856,1.506766586,5.140605146,3.271208299,0.01267799245,3.283886291,6.412956873,6.22918821,0.183768663,2.554425899,0.2205239884,2.774949888,0.6533559766
Dalano Banton,PG,bantoda01,2023,588,279,-0.9302759553,-1.506331453,-2.436607408,-4.532787936,-0.7688046165,-5.301592553,-1.748278141,-1.453927311,-3.202205452,-0.06433030888,-0.06433030888,0,-1.58909063,-0.9850312639,-2.574121894,-0.06152663468
Dominick Barlow,PF,barlodo01,2023,893,408,-2.056206584,0.342999552,-1.713207032,-3.192959792,-0.3775420158,-3.570501808,-2.376548158,0.3271499127,-2.049398245,0.1455207765,0.1455207765,0,-3.742244015,-0.289663047,-4.031907062,-0.2198131452
Harrison Barnes,SF,barneha02,2023,6075,2858,0.5495735337,0.6380523846,1.187625918,0.6893225902,-0.5610622997,0.1282602905,0.5775188066,0.4425423789,1.020061186,5.522082927,5.439890239,0.08219268728,0.439538657,0.1386586842,0.5781973412,0.1660461982
